Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	% Samples above Threshold	Annotation																																														
								Mock1	Mock2	Mock3	1493-1 6h	1493-1 6h	1493-1 6h	1493-2 6h	1493-2 6h	1493-2 6h	1493-1 24h	1493-1 24h	1493-1 24h	1493-2 24h	1493-2 24h	1493-2 24h	Mock4	Mock5	Mock6	1488-1 6h	1488-1 6h	1488-1 6h	1488-2 6h	1488-2 6h	1488-2 6h	1488-1 24h	1488-1 24h	1488-1 24h	1488-2 24h	1488-2 24h	1488-2 24h	Mock7	Mock8	Mock9	1484-1 24h	1484-1 24h	1484-1 24h	1484-2 24h	1484-2 24h	1484-2 24h	1484-2 6h	1484-2 6h	1484-2 6h	1484-1 6h	1484-1 6h	1484-1 6h
IGF1R	NM_000875.4	IGF1R	Endogenous	mRNA	100			62.7	64.96	69.19	57.82	83.58	73.17	73.9	54.92	76.09	67.66	74.36	56.12	67.71	83.99	86.3	62.16	39.46	40.6	56.52	51.5	52.17	50.85	48.37	38.38	35.86	46.72	35.25	59.35	45.75	66.97	43.53	46.39	53.67	49.7	47.97	44.68	54.32	57.16	72.2	46.03	71.49	56.77	51.13	47.46	43.29
IGF2BP3	NM_006547.2	IGF2BP3	Endogenous	mRNA	100			11.83	16.99	12.68	11.28	6.08	26.96	14.97	16.48	11.62	35.13	18.59	13.2	9.42	19.42	14.53	28.47	15.1	11.44	10.86	17.16	13.54	10.02	16.58	17.59	8.38	11.15	20.86	14.25	10.84	14.98	10.39	17.13	22.17	13.38	17.77	13.78	13.37	17.38	25.09	18.95	23.66	29.53	15.65	15.73	21.31
IL-10	NM_000572.2	IL-10	Endogenous	mRNA	100			227.14	255.83	221.41	211.54	215.79	236.2	255.36	232.03	252.56	157.44	153.09	147.45	61.25	66.99	65.24	72.3	112.67	101.86	51.92	61.81	58.05	51.17	75.92	84.02	159.72	155.63	160.14	103.49	110.41	105.22	139.94	139.17	134.16	129.46	115.11	151.41	37.47	42.59	45.22	33.99	35.74	38.1	52.95	56.88	55.01
IL-16	NM_004513.4	IL-16	Endogenous	mRNA	100			798.55	820.46	861.42	817.94	756.78	757.37	783.86	735.9	828.5	845.74	803.72	685.53	1067.86	921.88	1057.07	1377.81	793.67	862.63	1070.18	549.32	694.33	1117.69	619.73	650.64	820.75	780.98	821.17	889.53	829.24	849.14	829.21	862.79	875.32	829.66	846.72	896.21	1106.07	1088.4	1097.9	1227.71	1354.91	1125.83	1139.37	1133.7	1096.32
IL-18	NM_001562.3	IL-18	Endogenous	mRNA	100			84	59.96	71.5	71.92	75.98	91.14	71.09	71.39	83.48	54.65	64.52	75.93	65.38	62.91	59.66	50.27	59.58	57.67	100.95	186.86	180.77	96.91	206.58	174.05	87.01	84.21	107.82	119.71	126.05	123.53	93.39	91.25	108.25	93.03	99.36	97.55	65.09	97.55	92.84	71.78	86.39	82.54	64.98	65.83	50.88
IL-1B	NM_000576.2	IL-1B	Endogenous	mRNA	100			3103.12	3255.84	3298.08	4899.19	5166.78	5123.13	5180.2	5428.63	5210.87	4529.25	4868.23	4802	4574.91	5320.98	5063.83	17037.61	31879.44	27457.73	3974.18	8058.84	7106.57	4494.59	9591.61	9518.39	21859.99	21217.39	21031.57	21564.32	22680.75	23175.67	23591.15	24193.9	23415.56	18777.04	19824.01	20318.17	17170.89	16819.2	16566.31	17620.57	17398.11	18231.41	18006.85	18552.65	20110.8
IL-6	NM_000600.3	IL-6	Endogenous	mRNA	100			162.08	196.87	183.35	138.2	188.44	164.31	356.38	358.34	333.93	243.31	281.03	302.6	176.7	192.34	196.59	914	1564.52	1354.97	53.2	88.99	79.2	80.75	160.63	136.94	791.78	779.79	790.62	596.99	682.01	638.82	729.7	759.57	781.36	590.37	640.38	634.21	628.85	623.86	648.42	899.82	874.24	980.01	936.63	969.55	1064.23
IL-8	NM_000584.3	IL-8	Endogenous	mRNA	100			26999.35	27569.69	27888.37	41922.36	43517.97	44680.71	40578.23	39300.56	41737.64	36309.46	37741.92	39151.08	24928.26	29932.72	29058.41	51761.43	105125.75	90168.18	17848.26	32753.64	30783.74	18977.43	39756.38	39469.72	70540.89	70688.58	70668.45	69401.4	73050.67	73277.12	76665.75	70737.1	73608.17	70960.28	76809.8	78732.26	69043.52	72171.9	74369.62	69318.9	70326.52	73667.77	66895.98	67684.51	77452.32
IL12A	NM_000882.2	IL12A	Endogenous	mRNA	100			15.38	17.99	14.99	15.51	12.16	15.4	14.03	15.1	16.91	28.62	18.59	14.3	10.33	21.74	15.18	25.74	12.39	14.57	11.91	7.42	11.78	11.42	5.95	7.87	12.74	18.57	16.22	17.69	19.88	15.81	16.55	13.95	10.14	14.21	20.35	16.46	21.64	20.32	16.67	13.99	14.29	13.32	17.33	17.42	17.25
IL13	NM_002188.2	IL13	Endogenous	mRNA	100			4.73	7	12.68	7.05	10.64	11.55	5.61	9.61	7.4	5.2	7.65	11	19.49	22.97	20.05	18.13	14.88	17.76	17.98	31.84	26.98	24.51	21.45	14.86	17.33	18.92	13.98	19.43	15.33	28.6	20.93	14.99	25.24	18.92	14.39	23.02	19.91	18.69	24.98	16.02	16.36	13.61	11.46	13.6	20.4
IL1R1	NM_000877.3	IL1R1	Endogenous	mRNA	100			371.47	351.77	388.62	349.74	340.4	336.32	399.41	381.68	371.98	292.76	310.55	293.8	213.7	225.56	267.79	98.92	148.62	136.47	91.84	140.27	116.31	74.72	139.56	117.52	147.17	151	176.12	137.97	148.73	152.64	141.9	139.04	154.82	147.7	166.25	163.17	137.26	128.88	145.28	89.5	74.97	93.68	86.18	104.47	105.05
IL23	NM_016584.2	IL23	Endogenous	mRNA	100			39.04	37.97	32.29	38.08	25.83	24.39	43.03	38.44	39.1	44.24	29.52	34.11	22.56	19.94	17.41	38.04	43.93	42.84	33.83	17.72	24.62	31.1	24.83	19.35	39.51	39.58	41.43	28.49	38.11	31.26	32.66	35.18	31.24	39.8	38.34	33.54	28.07	37.89	59.92	37.72	31.19	41.05	39.26	50.32	48.94
IL3	NM_000588.3	IL3	Endogenous	mRNA	100			4.73	7	5.77	5.64	6.08	2.57	2.81	6.86	5.28	16.91	2.19	3.3	7.66	5.08	2.63	19.59	8.18	8.72	8.83	5.29	2.85	3.7	2.25	4.38	6.1	7.82	7.11	3.29	3.12	3.46	1.12	4.85	3.77	1.44	3.14	5.57	3.35	11.02	4.91	8.58	8.76	11.59	4.5	8.01	6.68
IL4	NM_000589.2	IL4	Endogenous	mRNA	100			17.75	15.99	17.3	19.74	18.24	15.4	17.77	19.22	21.14	14.31	17.5	13.2	7.15	10.53	14	9.5	3.9	7.75	5.89	5.13	4.35	4.44	2.62	2.33	13.44	7.67	20.13	8.4	8.83	10.79	11.11	19.63	9.62	11.58	14.07	10.26	9.03	5.65	9.79	2.05	4.2	8.54	5.39	5.76	4
IL4R	NM_000418.3	IL4R	Endogenous	mRNA	100			215.31	214.86	219.1	238.33	223.39	223.36	226.36	197.7	194.44	247.22	247.13	224.48	184.86	199.05	205.74	152.1	157.66	139.59	119.71	118.88	125.47	108.76	124.93	120.33	86.15	98.66	114.14	101.99	145.9	132.82	114.57	107.27	112.54	108.94	135.91	117.19	97.95	108.39	134.85	127.16	160.95	152.53	125.24	152.19	154.75
IL5RA	NM_000564.4	IL5RA	Endogenous	mRNA	100			13.01	8.99	8.07	9.87	12.16	6.42	15.9	9.61	11.62	13.01	20.78	13.2	5.71	6.31	6.52	9.95	7.99	10.84	9.87	7.17	6.08	3.22	3.84	5.44	10.22	12.7	12.86	13.91	16.46	9.4	18.59	6.27	9.11	11.61	15.77	13.45	17.74	5.55	8.65	9.08	12.36	11	14.55	14.13	11.78
KPNB1	NM_002265.4	KPNB1	Endogenous	mRNA	100			781.99	721.52	696.52	720.64	686.88	634.13	622.04	761.98	732.33	716.93	582.83	692.13	444.26	493.78	468.74	551.64	506.54	504.64	481.13	579.16	512.63	493.94	520.28	512.27	477.46	449.08	440.36	539.61	432.47	477.46	478.43	539.03	549.74	498.4	487.54	505.82	629.43	598.02	623.99	606.12	553.68	527.27	577.87	624.48	580.32
KROX20	NM_000399.4	KROX20	Endogenous	mRNA	100			10.65	15.99	13.84	11.28	9.12	23.11	15.9	16.48	24.31	15.61	15.31	12.1	7.99	12.75	8.56	33.28	42.69	41.46	19.96	38.48	31.89	13.52	37.12	29.69	20.82	22.03	23.51	21.02	30.39	31.91	20.52	20.47	20.52	26.15	17.91	22.39	34.34	34.72	42.96	36.96	24.86	38.39	25.22	26.09	41.4
Keratin 10	NM_000421.3	Keratin 10	Endogenous	mRNA	100			4.73	4	9.23	5.64	4.56	2.57	3.74	4.12	5.28	11.71	5.47	1.1	5.94	4.37	10.18	19.57	8.31	6.02	20.55	3.11	5.8	3.83	4.72	7.17	10.63	7.72	14.19	12.21	11.12	13.83	6.39	4.94	10.77	7.55	8.95	8.74	2.38	6.71	3.49	1.23	7.48	1.27	6.4	1.23	6.65
Keratin 14	NM_000526.4	Keratin 14	Endogenous	mRNA	100			5.92	3	5.77	5.64	7.6	7.7	3.74	2.75	6.34	10.41	4.37	4.4	7.52	7.38	10.74	11.65	9.57	9.52	17.34	7.87	4	7.27	12.87	6.69	21.99	9.76	6.59	12.21	10.84	6.42	16.88	14.45	14	6.69	3.64	5.17	12.37	29.03	18.1	9.5	9.7	26.3	16.6	5.91	3.18
Krt1	NM_006121.2	Krt1	Endogenous	mRNA	100			9.46	8.99	19.6	7.05	31.91	15.4	10.29	15.1	16.91	18.22	28.43	24.21	1.65	2.43	8.47	7.66	3.77	3.75	13.29	4.14	5.26	3.98	3.02	4.39	6.62	10.29	8.68	8.05	11.43	8.46	7.53	3.39	7.38	5.29	6.39	4.77	6.61	1.7	3.22	5.07	6.91	7.03	8.87	6.32	5.27
LDLR	NM_001195800.1	LDLR	Endogenous	mRNA	100			300.49	274.82	267.54	290.51	296.33	268.29	314.29	304.79	301.18	266.73	313.83	267.39	224.17	236.04	229.19	335.97	325.87	297.03	274.85	245.73	239.58	249.79	247.94	263.64	258.37	233.02	289.6	282.33	267.58	293.87	271.94	307.88	338.69	290.76	299.47	274.64	313.13	297.55	323.07	324.48	325.45	348.05	335.97	336.36	324.01
LIF	NM_002309.4	LIF	Endogenous	mRNA	100			16.56	19.99	18.45	31.03	10.64	32.09	14.97	21.97	17.96	15.61	16.4	15.41	3.17	3.89	3.62	12.29	4.84	5.62	15.84	7.3	9.56	4.6	5.04	8.06	5.54	8.84	6.97	6.46	5.09	9.05	10.07	4.53	9.87	3.14	5.12	7.28	12.4	4.85	5.04	7.41	5.4	6.6	11.1	1.06	7.41
LOX	NM_002317.5	LOX	Endogenous	mRNA	100			1.18	5	9.23	5.64	7.6	1.28	3.74	4.12	3.17	11.71	2.19	9.9	10.18	5.83	1.94	6.58	6.91	7.74	15.66	3.56	3.01	1.09	1.66	3.45	12.3	20.84	21.11	10.87	14.15	17.14	6.47	10.29	13.7	9.52	5.18	10.11	8.65	16.24	10.85	12.65	9.04	11.82	15.48	14.17	9.84
MALT1	NM_006785.2	MALT1	Endogenous	mRNA	100			480.31	484.68	517.78	534.48	594.18	559.68	557.49	523.09	543.17	490.53	501.91	496.27	415.35	443.65	425.35	546.34	401.11	391.15	415.14	346.02	349.2	372.71	328.88	330.64	404.67	401.68	414.41	442.07	406.45	432.67	448.53	414.72	436.79	460.86	458.09	457.38	437.05	451.39	528.61	451.57	450.06	507.04	440.95	471.04	464.47
MC1R	NM_002386.3	MC1R	Endogenous	mRNA	100			9.46	6	11.53	16.92	13.68	12.84	12.16	10.98	9.51	27.32	9.84	9.9	22.48	13.45	15.66	19.6	5.36	13.87	24.31	7.95	8.98	10.19	7.22	8.03	3.65	4.86	12.45	7.99	10.51	5.6	13.59	6.54	8.14	11.02	9.16	8.26	9.87	14.56	5.5	5.77	7.37	10.49	6.31	8.09	3.37
MITF	NM_000248.3	MITF	Endogenous	mRNA	100			183.37	152.9	151.07	170.64	177.8	181	179.6	185.35	181.76	158.74	148.72	151.85	85.62	90.76	83.32	41.71	92.77	68.11	43.37	85.79	64.99	42.53	82.13	69.91	101.59	84.55	101.02	114	140.92	130.55	89.16	119.9	115.5	95.14	103.4	120.56	57.67	65.43	61.91	41.83	50.76	51.62	43.45	47.33	42.91
MLH1	NM_000249.2	MLH1	Endogenous	mRNA	100			163.26	175.88	189.12	184.74	212.75	186.13	193.63	189.47	193.39	199.07	166.21	179.36	159.39	179.72	165.52	172.92	154.96	149.77	131.73	163.14	153.97	148.23	161.86	149.08	159.68	140.76	158.94	158.13	138.3	180.69	169.56	182.85	140.72	147.04	167.59	151.23	212.1	190.32	223.3	177.59	176.98	184.45	198.25	203.79	184.04
MMP1	NM_002421.3	MMP1	Endogenous	mRNA	100			1461.06	1426.05	1429.94	1091.53	1151.89	1173.27	1339.48	1400.4	1356.88	434.58	468.02	468.76	272.7	316.81	280.68	191.81	363.21	329.9	66.47	136.72	119.62	70.29	114.29	132.45	863.41	916.52	905.27	313.92	365.67	310.74	544.29	562.69	600.59	857.19	879.21	979.6	385.89	391.7	380.22	130.44	134.76	146.57	216.03	250	266.01
MMP2	NM_001127891.1	MMP2	Endogenous	mRNA	100			86.36	91.94	91.1	93.08	91.18	93.71	97.28	64.53	94.05	79.37	80.92	75.93	61.81	72.59	74.47	19.42	21.68	19.03	28.9	50.38	45.36	29.09	57.61	47.76	38.86	43.67	29.88	57.91	32.77	34.41	36.4	23.83	46.17	29.42	19.98	48.99	24.73	38.7	46.26	56.98	28.01	41.64	27.67	53.2	34.5
MMP9	NM_004994.2	MMP9	Endogenous	mRNA	100			1285.97	1310.13	1334.22	1547.04	1451.26	1578.91	1675.29	1690.1	1671.79	1100.76	1195.19	1084.96	1093.35	1179.62	1110.84	2614.42	4662.69	3830.06	1820.88	3678.7	3248.64	1754.58	3829.01	3807.7	4676.37	4600.5	4652.75	3938.02	4182.67	4230.67	4827.46	4880.38	4933.1	4449.51	4616.4	5070.31	6414.34	6510.3	6231.84	2724.73	2643	2909.44	3340.11	3765.38	3971.24
MPG	NM_001015052.1	MPG	Endogenous	mRNA	100			106.47	110.93	114.16	135.38	156.52	123.23	113.18	101.6	113.07	134.02	129.03	116.64	101.38	112.43	86.91	84.77	53.06	64.89	84.09	74.44	78.23	81.55	74.39	68.18	98.57	95.6	114.74	121.78	127.77	134.85	97.35	118.69	129.34	106.72	119.84	132.56	128.86	89.06	118.76	82.46	87.95	93.26	88.1	66.73	82.74
MRPS5	NM_031902.3	MRPS5	Endogenous	mRNA	100			397.5	404.73	385.16	513.33	468.05	465.97	418.12	407.76	403.68	451.49	415.53	454.45	428.19	446.86	475.24	480.73	357.71	353.79	486.16	522.94	555.26	423.96	487.51	504.01	321.65	316.24	342.77	402.81	425.69	382.5	381.77	339.57	409.98	392.95	379.05	401.46	450.27	420.71	476.82	419.53	374.59	391.46	393.19	396.98	385.08
MSH2	NM_000251.1	MSH2	Endogenous	mRNA	100			208.22	209.86	262.92	301.79	265.94	252.88	197.37	225.16	228.26	243.31	225.26	216.77	206.11	187.52	185.35	190.32	102.61	132.76	175.97	129.51	140.39	160.78	103.41	99.37	163.58	132.18	152.94	179.23	201.3	172.45	150.7	159.76	142.75	175.99	150.28	170.47	184.97	172.69	171.23	161.26	154.73	173.11	145.69	143.5	149.12
MSH6	NM_000179.1	MSH6	Endogenous	mRNA	100			169.17	192.87	194.89	239.74	212.75	227.21	171.18	185.35	170.14	256.32	203.39	216.77	133.1	139.78	141.57	190.59	105.39	131.99	142.15	113.06	131.88	126.97	112.57	89.26	118.22	121.33	128.81	148.69	158.61	151.57	135.06	127.95	142.01	144.77	129.62	138.17	170.27	217.88	201.45	183.6	211.12	185.88	165.88	154.15	165.74
MSR	NM_002454.2	MSR	Endogenous	mRNA	100			178.64	221.85	196.04	286.28	249.22	192.55	201.11	199.08	207.12	219.89	203.39	225.58	148.68	142.41	139.39	141.37	92.28	106.81	113.2	112.76	118.54	121.16	112.58	103.3	112.18	134.4	109.89	114.6	142.19	128	119.11	118.02	148.68	126.11	125.68	147.44	172.78	154.02	170.5	164.98	157.32	142.45	141.61	154.98	164.02
NADSYN	NM_018161.4	NADSYN	Endogenous	mRNA	100			46.14	59.96	59.97	78.97	62.31	61.62	57.99	59.04	62.35	80.67	60.14	74.83	48.41	49.91	42.53	49.25	32.34	26.66	32.1	38.02	38.01	36.29	35.52	30.45	38.17	43.01	38.93	50.13	59.31	46.37	51.15	55.88	40.22	41	51.71	43.25	55.69	69.72	58.87	52.27	49.74	54.29	53.99	36.6	38.84
NCK1	NM_006153.3	NCK1	Endogenous	mRNA	100			324.15	315.79	294.06	330	297.85	296.53	308.68	324.02	324.42	317.48	274.47	251.98	188.06	197.53	188.42	138.4	133.3	141.03	162.91	151.08	135.18	143.54	137.69	148.82	215.14	221.68	186.8	215.63	222.93	201.49	223.19	223.35	200.95	213.13	222.97	224.79	240.34	240.09	255	208.89	184.1	179.81	205.1	232.46	217.18
NOS3	NM_000603.4	NOS3	Endogenous	mRNA	98.08			10.65	7	4.61	5.64	6.08	11.55	5.61	13.73	5.28	6.51	5.47	8.8	3.73	2.75	2.4	6.5	1.42	2.12	5.38	1.76	1	1.8	1.71	1.78	4.31	11.47	9.04	7.33	1.24	2.2	3.56	11.01	9.6	9.17	4.15	4.43	1.92	6.3	7.48	6.87	4.01	6.11	3.43	2.75	4.58
OGG1	NM_002542.5	OGG1	Endogenous	mRNA	100			158.53	143.9	166.06	186.15	162.6	188.7	140.31	156.52	145.83	189.97	171.68	167.26	133.51	153.88	186.97	149.32	117.51	114.57	128.13	124.24	116.11	127.18	119.64	107.23	105.88	119.23	108.88	152.38	114.74	140.43	115.28	124.88	125.88	106.22	126.43	130.59	160.05	172.41	164.66	129.58	171.24	141.18	135.47	138.79	150.31
PAF1	NM_019088.2	PAF1	Endogenous	mRNA	100			319.42	307.8	298.67	345.51	335.84	359.43	278.75	315.78	340.28	336.99	313.83	332.31	356.52	309.41	316.32	252.21	257.95	262.28	312.01	276.51	290.02	261.68	251.06	264.21	262.92	256.92	272.67	287.01	326.46	312.42	275.56	281.42	316.22	325.88	268.92	321.13	256.78	242.31	256.88	245.75	242.86	264.85	211.35	191.23	226.27
PARP1	NM_001618.3	PARP1	Endogenous	mRNA	100			436.54	436.71	456.66	526.02	522.76	514.75	501.37	420.12	463.92	573.8	503.01	500.67	444.84	416.73	438.22	405.64	324.18	349.15	514.9	318.76	383.49	463.55	330.68	307.61	343.12	351.83	355.67	371.26	368.88	363.47	376.77	380.54	381.12	393.9	373.35	357.23	402.93	435.9	444.5	502.26	457.04	481.61	433.54	414.56	425.19
PARP2	NM_005484.3	PARP2	Endogenous	mRNA	100			52.05	64.96	61.12	95.9	88.14	94.99	67.35	60.41	54.95	68.96	63.42	86.93	63.96	60.57	67.65	43.46	36.15	42.9	64.19	61.07	65.89	53.03	55.15	54.78	58.38	60.69	58.34	72.7	70.28	75.49	65.59	68.07	59.95	61.5	62.62	67.5	54.93	52.35	56.01	46.17	42.86	36.62	48.43	35.27	42.48
PDGFC	NM_016205.2	PDGFC	Endogenous	mRNA	100			100.56	96.94	111.86	141.02	133.73	127.08	119.73	127.68	113.07	111.9	125.75	137.55	91.2	79.61	79.63	23.56	15.47	12.83	27.27	28.65	26.07	18.79	23.54	25.11	67.94	64.66	67.35	91.24	100.86	100.97	82.7	70.71	78.43	75.4	90.51	85.32	41.03	54.46	56.61	33.32	32.54	36.11	27.86	14.88	10.15
PER2	NM_022817.2	PER2	Endogenous	mRNA	100			16.56	24.98	28.83	29.62	25.83	21.82	23.38	30.2	29.59	22.12	22.96	18.71	19.52	21.56	21.61	16.08	13.04	18.53	15.95	13.8	21.22	16.13	17.6	16.12	19.38	16.53	18.75	17.38	18.85	15.99	14.78	12.95	15.77	17.45	13.79	20.83	13.59	23.93	33.16	16.53	13.32	16.26	22.05	12.18	25.73
PLAT	NM_000930.3	PLAT	Endogenous	mRNA	100			9.46	10.99	12.68	16.92	4.56	6.42	3.74	9.61	13.74	13.01	4.37	8.8	4.1	1.81	4.92	11.43	1.88	3.73	6.62	3.6	1.75	2.38	4.81	1.56	22.43	27	23.51	28.02	29.47	31.91	29.79	25.38	33.9	21.6	23.47	21.07	7.44	9.98	8.3	6.53	7.78	5.65	5.71	4.07	5.93
PPAR-a	NM_001001928.2	PPAR-a	Endogenous	mRNA	100			110.02	108.93	104.94	108.59	129.17	123.23	110.38	131.8	99.34	109.3	125.75	108.94	96.57	105.92	110.68	72.01	59.31	55.01	84.75	96.96	83.27	62.45	75.09	75.23	101.07	82.56	86.03	106.98	116.23	104.29	90.15	97.18	66.88	88.07	89.53	88.86	114.32	134.98	138.6	95.77	115.91	92.1	97.66	87.77	86.97
PPAR-g	NM_005037.5	PPAR-g	Endogenous	mRNA	100			194.02	193.87	174.13	266.54	238.58	228.49	202.04	199.08	189.16	226.4	213.23	192.56	452.63	535.15	493.53	55.4	90.95	104.04	176.32	315.6	299.1	143.07	297.14	289.84	47.1	50.76	55.3	51.36	57.1	55.85	54.51	48.79	53.65	55.51	57.12	63.51	363.98	408.67	340.29	192.86	247.51	184.07	134.41	126.55	184.62
PRKN	NM_004562.2	PRKN	Endogenous	mRNA	100			9.46	13.99	24.22	23.97	21.27	11.55	18.71	17.85	13.74	31.23	22.96	15.41	12.98	7.05	13.47	24.63	5.22	9.34	14.98	10.31	6.91	8.59	6.27	5.73	8.57	11.4	13.48	10.41	11.09	22.43	6.64	11.5	19.09	13.68	12.39	17.17	18.49	14.62	24.69	16.94	21.37	18.63	17.42	13.96	12.41
PROC	NM_000312.3	PROC	Endogenous	mRNA	90.38			11.83	10.99	4.61	8.46	4.56	14.12	9.35	6.86	6.34	9.11	6.56	6.6	2.39	1	1	1.66	2.19	1.45	2.75	1	1.52	1	1	1.64	3.89	11.49	2.72	8.81	7.45	6.62	7.49	7.94	1.44	8.27	16.98	11.71	2.23	1.05	3.82	1.72	1.17	2.38	1	1.07	1.34
PSMD4	NM_002810.2	PSMD4	Endogenous	mRNA	100			467.3	567.62	499.32	575.38	588.1	593.06	478.92	492.89	496.68	550.38	516.13	544.68	456.71	433.94	479.05	423.56	382.45	395.11	380.37	399.69	397.41	357.72	389.26	392.38	404.22	432.09	405.88	445.36	457.61	477.37	429.32	419.63	444.25	435.12	474.95	435.23	540.46	499.7	495.18	518.35	505.89	489.43	471.04	408.42	426.07
PTGIS	NM_000961.3	PTGIS	Endogenous	mRNA	94.23			15.38	19.99	18.45	18.33	21.27	32.09	11.22	20.59	13.74	14.31	15.31	18.71	4.6	3.87	3.94	1	5.52	4.99	6.06	3.3	5.94	1	2.17	1	8.03	12.21	7.22	5.57	6.6	10.55	5.69	7.04	14.06	7.33	8.85	12.26	2.23	3.15	6.54	3.43	1.17	5.94	2	9.62	1.15
Pink1	NM_032409.2	Pink1	Endogenous	mRNA	100			194.02	195.87	166.06	238.33	214.27	211.81	150.6	177.11	184.93	184.76	173.87	184.86	133.79	153.57	135.55	88.9	96.85	73.91	110.23	129.93	99.91	84.88	99.44	112.6	141.53	141.25	149.93	180.53	179.71	161.16	159.61	162.75	149.44	162.18	195.57	162.42	185.75	179.47	171.78	92.88	100.5	78.1	66.69	91.89	93.82
RANK	NM_003839.3	RANK	Endogenous	mRNA	100			31.94	43.97	56.51	55	59.27	56.48	40.22	42.56	68.69	45.54	30.62	46.22	32.26	36.89	38.58	39.49	33.71	32.24	17.63	16	17.18	20.53	16.82	18.12	23.26	23.39	26.02	30.15	39.24	22.18	32.04	31.71	39.73	39.62	28.71	28.05	31.51	29.58	39.03	27.3	27.88	30.93	23.86	23.17	29.94
RDH10	NM_172037.2	RDH10	Endogenous	mRNA	100			26.03	27.98	31.14	33.85	34.95	30.81	22.45	21.97	38.04	29.93	29.52	27.51	23.16	24.93	16.8	15.54	11.56	6.09	18.5	12.88	13.28	11.2	11.11	12.23	13.76	8.5	6.9	11.05	10.32	11.62	9.4	10.4	14	8.07	7.39	7.87	14.57	14.3	9.69	10.17	8.31	11.27	8.89	13.3	12.14
RELA	NM_021975.3	RELA	Endogenous	mRNA	100			91.09	108.93	129.16	139.61	115.49	128.37	106.63	129.06	123.64	123.61	102.79	122.14	84.59	93.19	80.09	113.76	83.69	82.13	86.54	61.48	66.58	71.87	60.72	52.44	58.17	44.81	43.33	48.35	56.33	50.83	48.71	49.29	57.97	57.58	50.77	53.49	50.53	42.36	57.24	60.98	71.71	51.82	54.92	58.67	66.17
RELB	NM_006509.3	RELB	Endogenous	mRNA	100			501.61	468.69	457.81	480.89	509.08	473.67	500.43	472.29	501.96	420.27	436.3	435.75	397.98	429.78	396.05	572.8	502.24	493.25	523.26	403.39	430.18	483.27	390.7	352.58	523.23	487.41	497.17	546.67	522.75	494.49	468.94	519.81	530.02	501.33	498.16	556.57	371.59	308.86	376.89	415.4	406.37	347.23	380.55	422.83	391.34
RTEL1	NM_001283009.1	RTEL1	Endogenous	mRNA	100			7.1	8.99	6.92	18.33	7.6	7.7	4.68	12.36	6.34	13.01	9.84	13.2	3.05	3.74	3.49	7.09	8.54	3.86	4.69	6.39	2.71	4.92	2.61	5.43	6.28	5.57	12.08	6.11	4.82	6.42	4.33	7.49	12.83	3.72	5.65	6.03	9.39	16.52	13.74	3.6	13.5	8.73	10.5	11.22	7.48
SCARB1	NM_005505.3	SCARB1	Endogenous	mRNA	100			137.23	155.9	134.92	190.38	155	155.32	160.89	174.36	125.75	126.21	117	123.24	60.14	84.56	76.55	19.07	14.38	16.61	32.93	55.35	49.16	39.66	53.04	52.1	35.75	41.81	39.19	37.91	40.49	41.51	34.47	40.42	36.81	36.52	40.95	41.87	41.05	35.33	26.71	23.12	25.04	34.2	32.45	28.78	25.08
SCARF1	NM_003693.3	SCARF1	Endogenous	mRNA	100			22.48	21.99	25.37	40.9	22.79	25.67	23.38	30.2	23.25	23.42	20.78	15.41	22.44	19.66	17.16	62.77	72.25	70.03	36.38	59.84	52.31	26.4	57.63	53.41	46.85	57.43	56.27	50.5	39.18	52.22	40.83	51.37	49.34	44.74	44.02	39.92	53.02	50.79	60.18	53.18	73.54	66.74	55.2	67.24	56.92
SCD1 (SCD)	NM_005063.4	SCD1 (SCD)	Endogenous	mRNA	100			494.51	503.67	455.5	492.18	504.52	503.2	505.11	429.73	452.29	431.98	447.24	486.36	302.32	310.48	292.75	354.51	338.79	332.48	583.48	768.98	705.47	544.14	716.38	738.54	258.14	231.92	243.25	250.1	264.93	262.08	234.28	242.16	277.54	257.42	247.62	279.41	364.76	339.39	370.97	371.23	351.53	356.36	331.38	332.99	310
SCF	NM_003994.5	SCF	Endogenous	mRNA	100			4.73	6	9.23	8.46	10.64	14.12	5.61	13.73	9.51	13.01	7.65	7.7	4.59	14.37	5.9	22.69	13.15	8.72	13.24	17.31	13.44	8.88	12.21	11.81	30.7	45.39	33.72	29.84	40.35	35.85	22.96	40.35	43.97	10.38	6.77	8.41	14.71	13.81	10.44	13.69	16.78	9.95	4.79	7.67	5.33
SERPINE1	NM_000602.4	SERPINE1	Endogenous	mRNA	100			20.11	34.98	34.6	36.67	37.99	60.33	33.67	41.19	34.87	44.24	30.62	40.71	4.66	10.29	10.65	54.15	109.05	71.93	25.96	56.58	39.26	22.15	54.96	49.71	24.5	20.28	40.24	15.08	25.35	29.2	23.62	26.71	18.19	19.12	25.19	31.55	23.8	25.92	15.79	21.44	26.87	25.31	20.45	28.21	27.31
